file,reason
2XgDqzQkqLX9SbmSHfbqdRxSmRD2/breathing-deep.wav,digital silence
2XgDqzQkqLX9SbmSHfbqdRxSmRD2/breathing-shallow.wav,digital silence
2XgDqzQkqLX9SbmSHfbqdRxSmRD2/cough-heavy.wav,digital silence
2XgDqzQkqLX9SbmSHfbqdRxSmRD2/cough-shallow.wav,digital silence
2XgDqzQkqLX9SbmSHfbqdRxSmRD2/counting-fast.wav,digital silence
2XgDqzQkqLX9SbmSHfbqdRxSmRD2/counting-normal.wav,digital silence
2XgDqzQkqLX9SbmSHfbqdRxSmRD2/vowel-a.wav,digital silence
2XgDqzQkqLX9SbmSHfbqdRxSmRD2/vowel-e.wav,digital silence
2XgDqzQkqLX9SbmSHfbqdRxSmRD2/vowel-o.wav,digital silence
9XKj7fAmvwPUas9GFPZuTpev7T03/breathing-deep.wav,RuntimeError: ffmpeg produced no samples
9XKj7fAmvwPUas9GFPZuTpev7T03/breathing-shallow.wav,RuntimeError: ffmpeg produced no samples
9XKj7fAmvwPUas9GFPZuTpev7T03/cough-heavy.wav,RuntimeError: ffmpeg produced no samples
9XKj7fAmvwPUas9GFPZuTpev7T03/cough-shallow.wav,RuntimeError: ffmpeg produced no samples
9XKj7fAmvwPUas9GFPZuTpev7T03/counting-fast.wav,RuntimeError: ffmpeg produced no samples
9XKj7fAmvwPUas9GFPZuTpev7T03/counting-normal.wav,RuntimeError: ffmpeg produced no samples
9XKj7fAmvwPUas9GFPZuTpev7T03/vowel-a.wav,RuntimeError: ffmpeg produced no samples
9XKj7fAmvwPUas9GFPZuTpev7T03/vowel-e.wav,RuntimeError: ffmpeg produced no samples
9XKj7fAmvwPUas9GFPZuTpev7T03/vowel-o.wav,RuntimeError: ffmpeg produced no samples
htQzROl26OWQpIYFDzv11F79PLR2/breathing-deep.wav,digital silence
htQzROl26OWQpIYFDzv11F79PLR2/cough-heavy.wav,digital silence
htQzROl26OWQpIYFDzv11F79PLR2/cough-shallow.wav,digital silence
htQzROl26OWQpIYFDzv11F79PLR2/counting-fast.wav,digital silence
htQzROl26OWQpIYFDzv11F79PLR2/counting-normal.wav,digital silence
htQzROl26OWQpIYFDzv11F79PLR2/vowel-a.wav,digital silence
htQzROl26OWQpIYFDzv11F79PLR2/vowel-e.wav,digital silence
htQzROl26OWQpIYFDzv11F79PLR2/vowel-o.wav,digital silence
KGWBaTNrJmUgzGZw5Xh2ICSHVu92/breathing-deep.wav,too short (0.085s)
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2/counting-fast.wav,digital silence
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2/counting-normal.wav,digital silence
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2/vowel-a.wav,digital silence
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2/vowel-e.wav,digital silence
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2/vowel-o.wav,digital silence
tiKv850hJFTmpCAvfJOmOOqkeUs1/breathing-deep.wav,digital silence
tiKv850hJFTmpCAvfJOmOOqkeUs1/breathing-shallow.wav,digital silence
tiKv850hJFTmpCAvfJOmOOqkeUs1/cough-heavy.wav,digital silence
tiKv850hJFTmpCAvfJOmOOqkeUs1/cough-shallow.wav,digital silence
tiKv850hJFTmpCAvfJOmOOqkeUs1/counting-fast.wav,digital silence
tiKv850hJFTmpCAvfJOmOOqkeUs1/counting-normal.wav,digital silence
tiKv850hJFTmpCAvfJOmOOqkeUs1/vowel-a.wav,digital silence
